RG_25℃,Eon(mJ)_25℃,RG_25℃,Eoff(mJ)_25℃,RG_150℃,Eon(mJ)_150℃,RG_150℃,Eoff(mJ)_150℃,RG_175℃,Eon(mJ)_175℃,RG_175℃,Eoff(mJ)_175℃
1,5.84,1,26.45,1,7.41,1,35.71,1,8.23,1,38.81
1.5,6.54,1.5,26.8,1.5,8.55,1.5,36.37,1.5,9.49,1.5,39.92
2,7.42,2,27.48,2,10.13,2,36.8,2,11.27,2,40.01
2.5,8.67,2.5,27.56,2.5,12.18,2.5,38.09,2.5,13.16,2.5,41.16
3,9.82,3,28.63,3,13.83,3,38.27,3,14.73,3,41.38
4,12.47,4,29.5,4,17.52,4,39.02,4,19.04,4,42.23
5,15.17,5,30.29,5,21.36,5,41.45,5,23.33,5,43.66
6,17.85,6,32.03,6,24.5,6,43.09,6,26.7,6,46.41
8,23.87,8,37.88,8,33.42,8,46.87,8,34.96,8,50.16
10,29.11,10,39.31,10,40.92,10,49.98,10,43.4,10,54.3
15,43.54,15,46.91,15,54.89,15,56.46,15,61.26,15,62.22
20,56.98,20,55.82,20,69.96,20,66.7,20,78.11,20,74.16
25,75.9,25,62.08,25,89.22,25,72.72,25,97.65,25,80.11
