VG,QG
-7.999363569,2.04758E-05
-7.998741054,6.39464E-05
-7.999143833,0.000101577
-7.999035192,0.000124946
-7.99834582,0.000103536
-7.999483099,5.55229E-05
-8.000767151,1.74172E-05
-7.999341287,-2.47765E-05
-8.000717936,-7.56925E-05
-8.002103788,-0.00010681
-8.001853899,-8.74824E-05
-8.000330087,-2.64756E-05
-8.00021095,5.18414E-05
-7.998991027,0.000122429
-7.997647522,0.000157484
-7.997749648,0.000127877
-7.99965902,5.63746E-05
-8.000733541,-2.06128E-05
-8.000787871,-9.28242E-05
-8.001450595,-0.000137948
-8.001113711,-0.000139483
-8.000405285,-0.000102428
-7.984448161,0.00019415
-8.017974646,0.001054796
-8.202469004,0.002963613
-7.839354562,0.004626043
-7.896350899,0.004352823
-7.946890584,0.002694797
-7.985408425,0.000137051
-8.027250841,-0.002715935
-8.054850951,-0.004886242
-8.064867306,-0.005805446
-8.055313198,-0.005259843
-8.031952507,-0.003483791
-8.00032116,-0.001034307
-7.97242599,0.001381298
-7.951972181,0.003113595
-7.945073792,0.003704707
-7.955991476,0.003056032
-7.977651249,0.001429414
-8.00426582,-0.000676827
-8.027814367,-0.002634154
-8.042391332,-0.0039046
-8.045080914,-0.004181068
-8.034444772,-0.003433553
-8.013924685,-0.001921112
-7.990760005,-9.23643E-05
-7.972063626,0.001534875
-7.961362272,0.002491637
-7.961500845,0.002525184
-7.974307145,0.001694924
-7.99243066,0.000300517
-8.010758333,-0.001241407
-8.024918973,-0.002528316
-8.03389548,-0.003217156
-8.031833922,-0.003139977
-8.021448296,-0.002353693
-8.004250631,-0.001104304
-7.988423169,0.000228666
-7.976840393,0.001259505
-7.972055674,0.00170886
-7.975563691,0.001507393
-7.985730001,0.000777415
-7.997118168,-0.000267919
-8.01143782,-0.001326178
-8.019305643,-0.002088441
-8.023186435,-0.002382524
-8.019661761,-0.00216663
-8.010351921,-0.001494593
-7.998871884,-0.000573233
-7.987150415,0.000236523
-7.91458099,0.003812091
-7.690832492,0.020555456
-7.392176471,0.044206771
-7.160426752,0.062476293
-6.954787589,0.078504069
-6.744213015,0.094729952
-6.524114595,0.11166046
-6.298648079,0.12900894
-6.070464684,0.146473773
-5.839719994,0.163910441
-5.606075846,0.181301271
-5.366943415,0.198637684
-5.119699556,0.215890378
-4.86610662,0.233080813
-4.608764614,0.250236545
-4.34818934,0.267361258
-4.074721692,0.284401602
-3.773293514,0.30116469
-3.443148726,0.31752761
-3.099267618,0.333647486
-2.749349257,0.349724395
-2.394986279,0.365816816
-2.037598648,0.381917977
-1.67824889,0.398013527
-1.317260229,0.414087722
-0.952097819,0.430143236
-0.587107683,0.446183836
-0.219144013,0.462199622
0.151479925,0.478191199
0.523522935,0.494148855
0.899401402,0.510071169
1.277099756,0.525978152
1.656176969,0.541866014
2.03950123,0.557722445
2.425226688,0.573556417
2.813172228,0.589371715
3.203525199,0.605150007
3.598687051,0.620877964
3.990869855,0.636601555
4.372549199,0.652432483
4.733421736,0.668500807
5.086487798,0.684776539
5.432663089,0.701130354
5.777268278,0.717445015
6.216196658,0.732673107
7.57477193,0.741600577
7.837701129,0.751597208
8.19577487,0.769217616
8.505939515,0.787948844
8.77428409,0.806137527
8.995956495,0.823935427
9.186835459,0.841871048
9.339651883,0.860260771
9.382096378,0.879583124
9.461794876,0.899364702
9.516017417,0.918925219
9.555649287,0.938505836
9.577948756,0.958265241
9.597947108,0.978138271
9.618363087,0.997978614
9.638247634,1.017789575
9.657134708,1.037597444
9.678004602,1.057372368
9.696067,1.077142179
9.712996428,1.096955808
9.730637877,1.11677424
9.748604568,1.136587965
9.768554083,1.156386418
9.789664105,1.176151675
9.809167303,1.195917594
9.834397353,1.215652888
9.862631736,1.235332997
9.902451974,1.254880666
9.971238352,1.274128513
10.07755478,1.292941989
10.21577242,1.311286752
10.37414146,1.329351241
10.54503132,1.347333711
10.72656569,1.365286436
10.91122808,1.383233612
11.09928088,1.401175392
11.29339319,1.419073654
11.49008123,1.436930819
11.68889978,1.454777562
11.88894885,1.472604007
12.09027955,1.490408966
12.29471,1.508204035
12.49930786,1.52599438
12.70479865,1.543772147
12.91175155,1.561526089
13.11883851,1.579262445
13.32770322,1.597005483
13.53733666,1.614746745
13.74703646,1.632463249
13.95765563,1.650175943
14.16761023,1.6679088
14.37973335,1.685634057
14.59088743,1.7033459
14.80355011,1.721069793
15.00206596,1.737964745
15.1754342,1.752655572
15.31556832,1.764856958
15.37353287,1.77134678
15.32052214,1.768347699
15.17429641,1.757000715
14.97901765,1.741084423
14.79096161,1.725439422
