IC_Tj = 25℃,VCE_Tj = 25℃,IC_Tj = 150℃,VCE_Tj = 150℃,IC_Tj = 175℃,VCE_Tj = 175℃
-0.008,-0.0935,0.01,-0.135,-0.03,-0.122
0.362,0.5155,1.25,0.252,1.51,0.206
9.07,0.6529,10.604,0.41,10.68,0.366
20.88,0.7039,21.826,0.487,21.754,0.449
32.636,0.7388,32.866,0.54,32.94,0.507
43.928,0.7648,44.162,0.583,43.89,0.553
54.99,0.7852,55.004,0.618,54.69,0.592
65.88,0.8045,65.878,0.65,65.56,0.627
76.73,0.8214,76.718,0.679,76.316,0.657
87.672,0.8367,87.636,0.707,87.098,0.688
98.33,0.8519,98.418,0.732,97.834,0.715
109.066,0.8657,109.172,0.755,108.45,0.742
119.768,0.8782,119.968,0.778,119.238,0.767
130.4,0.8902,130.708,0.801,129.878,0.789
140.98,0.9035,141.406,0.821,140.578,0.812
151.558,0.9144,152.256,0.841,151.216,0.834
162.12,0.9247,162.936,0.86,161.836,0.855
172.64,0.9366,173.708,0.878,172.478,0.876
183.086,0.9456,184.374,0.897,183.138,0.895
193.49,0.9555,195.116,0.915,193.762,0.916
203.896,0.9667,205.842,0.932,204.402,0.934
214.428,0.975,216.574,0.949,215.068,0.953
224.964,0.9847,227.318,0.966,225.736,0.972
235.536,0.9944,237.996,0.982,236.37,0.989
245.996,1.0027,248.692,0.999,246.952,1.006
256.622,1.0117,259.404,1.013,257.69,1.024
267.156,1.0208,270.096,1.029,268.288,1.042
277.806,1.0295,280.806,1.045,278.95,1.058
288.318,1.038,291.536,1.059,289.692,1.074
298.66,1.0462,302.194,1.074,300.27,1.091
309.576,1.0545,312.902,1.089,310.994,1.106
319.628,1.0633,323.578,1.103,321.624,1.122
330.584,1.0716,334.278,1.117,332.286,1.137
341,1.079,344.938,1.13,342.904,1.153
351.464,1.0882,355.626,1.145,353.586,1.168
361.934,1.0935,366.298,1.158,364.278,1.184
372.982,1.1025,376.964,1.171,374.952,1.199
383.562,1.1108,387.594,1.184,385.63,1.214
394.082,1.1173,398.32,1.199,396.336,1.229
404.272,1.1259,408.98,1.211,407.132,1.244
415.264,1.1337,419.642,1.224,417.784,1.259
425.694,1.1405,430.34,1.237,428.588,1.274
436.386,1.1475,440.998,1.25,439.202,1.289
447.51,1.1547,451.644,1.263,450.026,1.303
457.486,1.1619,462.278,1.276,460.676,1.316
468.608,1.17,472.932,1.29,471.32,1.33
479.268,1.1765,483.558,1.302,482.198,1.344
490.43,1.1835,494.176,1.314,493.026,1.359
500.624,1.1903,504.826,1.327,503.486,1.373
511.208,1.198,515.488,1.34,514.51,1.387
522.576,1.2053,526.188,1.352,524.988,1.401
532.052,1.2117,536.85,1.364,535.688,1.413
543.32,1.2188,547.536,1.375,546.482,1.427
553.922,1.2257,558.19,1.387,557.218,1.44
564.518,1.2318,568.878,1.4,568.054,1.456
574.77,1.2386,579.602,1.411,579.014,1.468
586.2,1.2458,590.146,1.424,589.834,1.481
595.834,1.2518,600.906,1.436,600.03,1.494
606.508,1.2593,611.526,1.448,611.628,1.509
617.832,1.2648,622.014,1.46,622.276,1.522
628.286,1.2718,632.728,1.471,632.44,1.532
638.85,1.278,643.354,1.483,642.984,1.547
649.31,1.2842,653.72,1.494,653.896,1.561
659.612,1.2911,664.644,1.506,664.85,1.572
670.654,1.2972,675.174,1.518,675.158,1.584
681.1,1.303,685.818,1.53,686.376,1.598
691.894,1.3101,696.496,1.541,696.734,1.61
702.018,1.3164,707.27,1.554,707.82,1.626
713.07,1.3225,717.788,1.564,718.452,1.635
722.404,1.3277,728.49,1.575,727.802,1.646
733.174,1.3358,739.142,1.587,739.014,1.662
745.384,1.3423,749.862,1.598,750.266,1.675
755.416,1.3489,760.368,1.611,760.194,1.686
765.472,1.3542,771.11,1.622,770.504,1.698
776.564,1.3601,781.644,1.632,781.742,1.712
787.166,1.3672,792.356,1.645,792.224,1.723
797.516,1.3724,802.634,1.655,802.802,1.736
808.062,1.3781,813.172,1.667,812.914,1.748
819.11,1.3847,823.824,1.678,824.324,1.764
829.368,1.3903,834.796,1.689,834.62,1.772
839.462,1.3961,845.136,1.7,844.954,1.784
850.728,1.403,855.96,1.711,857.1,1.798
861.386,1.4089,866.408,1.722,866.43,1.808
871.208,1.4143,876.594,1.732,878.414,1.825
881.818,1.4205,887.38,1.744,887.576,1.834
894.026,1.4275,898.338,1.757,899.088,1.848
902.902,1.4324,908.574,1.766,909.572,1.859
915.108,1.4398,919.444,1.777,920.374,1.87
924.728,1.4451,930.866,1.79,931.316,1.883
935.062,1.4507,940.41,1.799,942.494,1.895
946.142,1.4562,951.69,1.812,952.622,1.908
957.456,1.4627,962.644,1.822,962.558,1.918
967.106,1.4677,973.866,1.836,973.67,1.932
978.156,1.4742,984.376,1.846,984.802,1.946
988.488,1.4796,994.494,1.856,994.816,1.954
999.084,1.4866,1005.536,1.868,1006.416,1.967
1009.486,1.4913,1015.92,1.878,1016.21,1.98
1020.186,1.4972,1027.392,1.891,1027.718,1.993
1031.724,1.5035,1036.61,1.899,1038.474,2.006
1041.146,1.5074,1047.278,1.909,1049.086,2.016
1053.066,1.5155,1058.578,1.924,1059.126,2.032
1062.216,1.5197,1068.912,1.933,1069.426,2.04
1073.29,1.5261,1079.816,1.944,1080.51,2.054
1084.148,1.532,1089.74,1.953,1089.744,2.061
1094.138,1.537,1100.922,1.966,1101.636,2.077
1105.09,1.5423,1110.888,1.976,1111.598,2.087
1116.226,1.5485,1122.156,1.989,1122.332,2.099
1126.65,1.5543,1131.978,1.997,1133.786,2.111
1136.928,1.5596,1144.282,2.013,1144.496,2.125
1147.814,1.565,1154.898,2.02,1154.27,2.135
1159.132,1.5711,1165.47,2.031,1165.274,2.148
1167.816,1.5759,1175.86,2.04,1176.116,2.162
1179.844,1.5833,1186.64,2.053,1186.758,2.171
1190.042,1.5883,1197.682,2.064,1196.94,2.183
1201.142,1.5934,1207.982,2.074,1208.464,2.198
1210.9,1.5992,1218.896,2.086,1218.494,2.208
