IC_9V,VCE_9V,IC_11V,VCE_11V,IC_13V,VCE_13V,IC_15V,VCE_15V,IC_17V,VCE_17V,IC_19V,VCE_19V,,,,
-0.016,-0.034 ,-0.010 ,-0.136 ,0.006,-0.134 ,0.010 ,-0.135 ,0.008,-0.136 ,0.008 ,-0.135 ,,,,
1.296,0.354 ,1.214,0.249 ,1.166,0.247 ,1.25,0.252 ,1.23,0.251 ,1.168,0.247 ,,,,
10.4,0.511 ,10.458,0.410 ,10.41,0.408 ,10.604,0.410 ,10.534,0.409 ,10.02,0.403 ,,,,
21.588,0.592 ,21.79,0.489 ,21.758,0.488 ,21.826,0.487 ,21.808,0.487 ,20.594,0.477 ,,,,
32.764,0.650 ,32.95,0.545 ,32.972,0.541 ,32.866,0.540 ,33.094,0.538 ,31.22,0.529 ,,,,
43.816,0.696 ,44.114,0.589 ,43.972,0.584 ,44.162,0.583 ,44.168,0.581 ,41.644,0.570 ,,,,
54.714,0.736 ,54.978,0.626 ,55.022,0.621 ,55.004,0.618 ,55.096,0.617 ,52.164,0.607 ,,,,
65.53,0.773 ,65.844,0.661 ,65.866,0.655 ,65.878,0.650 ,65.894,0.648 ,62.858,0.638 ,,,,
76.374,0.805 ,76.574,0.691 ,76.71,0.685 ,76.718,0.679 ,76.718,0.677 ,73.68,0.667 ,,,,
87.116,0.836 ,87.518,0.720 ,87.494,0.712 ,87.636,0.707 ,87.586,0.704 ,84.258,0.693 ,,,,
97.814,0.865 ,98.236,0.746 ,98.238,0.737 ,98.418,0.732 ,98.416,0.729 ,95.03,0.718 ,,,,
108.514,0.894 ,108.974 ,0.772 ,109.072,0.761 ,109.172 ,0.755 ,109.182,0.752 ,105.840 ,0.741 ,,,,
119.296,0.921 ,119.694 ,0.797 ,119.846,0.786 ,119.968 ,0.778 ,119.98,0.774 ,116.658 ,0.764 ,,,,
129.954,0.947 ,130.460 ,0.820 ,130.544,0.807 ,130.708 ,0.801 ,130.716,0.795 ,127.374 ,0.785 ,,,,
140.584,0.972 ,141.154 ,0.843 ,141.316,0.828 ,141.406 ,0.821 ,141.45,0.816 ,138.080 ,0.805 ,,,,
151.314,0.997 ,151.858 ,0.864 ,152.026,0.849 ,152.256 ,0.841 ,152.216,0.834 ,148.884 ,0.824 ,,,,
161.962,1.022 ,162.640 ,0.886 ,162.754,0.869 ,162.936 ,0.860 ,162.946,0.852 ,159.566 ,0.843 ,,,,
172.618,1.044 ,173.344 ,0.906 ,173.494,0.890 ,173.708 ,0.878 ,173.702,0.872 ,170.238 ,0.861 ,,,,
183.264,1.068 ,184.024 ,0.927 ,184.188,0.908 ,184.374 ,0.897 ,184.436,0.889 ,181.036 ,0.879 ,,,,
193.874,1.092 ,194.740 ,0.946 ,194.902,0.928 ,195.116 ,0.915 ,195.136,0.907 ,191.700 ,0.896 ,,,,
204.536,1.114 ,205.432 ,0.965 ,205.632,0.945 ,205.842 ,0.932 ,205.818,0.924 ,202.352 ,0.912 ,,,,
