If_25℃,Vf_25℃,If_150℃,Vf_150℃,If_175℃,Vf_175℃
0.028,-0.048,0.008,-0.099,0,-0.048
0.07,0.4447,1.93,0.31,2.584,0.327
5.628,0.6899,9.648,0.45,10.516,0.455
14.582,0.7758,18.622,0.528,19.504,0.53
24.22,0.832,28.046,0.587,28.856,0.588
34.12,0.8738,37.682,0.638,38.404,0.637
44.17,0.9085,47.496,0.682,48.124,0.68
54.346,0.9387,57.43,0.722,57.904,0.718
64.59,0.9663,67.428,0.757,67.764,0.754
74.856,0.9906,77.526,0.791,77.654,0.788
85.166,1.0135,87.61,0.822,87.556,0.819
95.608,1.0346,97.786,0.852,97.254,0.849
106.062,1.0541,107.942,0.881,107.246,0.877
116.542,1.0737,118.178,0.908,117.392,0.905
127.072,1.092,128.48,0.936,127.666,0.932
137.6,1.1095,138.718,0.959,137.836,0.958
148.234,1.1271,149.052,0.985,148.064,0.983
158.804,1.1433,159.368,1.008,158.636,1.008
169.646,1.1579,169.942,1.033,169.09,1.031
180.276,1.1742,180.308,1.055,179.99,1.058
190.786,1.1875,190.402,1.076,191.372,1.082
201.656,1.2023,200.64,1.098,201.444,1.103
212.168,1.2168,210.928,1.119,212.382,1.126
222.83,1.2309,221.412,1.139,222.814,1.148
233.584,1.2436,231.7,1.157,233.296,1.169
244.24,1.2556,242.112,1.179,243.484,1.19
255.162,1.2696,252.776,1.2,254.478,1.212
265.968,1.2841,263.83,1.22,265.024,1.232
277.074,1.2957,275.068,1.24,275.85,1.252
287.652,1.3088,286.012,1.261,286.508,1.271
298.456,1.3208,296.828,1.279,297.488,1.291
309.816,1.3336,307.62,1.299,308.35,1.31
320.6,1.3454,318.42,1.317,319.106,1.33
331.38,1.3581,329.186,1.335,329.884,1.35
341.272,1.3684,340.174,1.353,340.476,1.367
352.752,1.3801,350.962,1.371,351.674,1.387
364.036,1.3921,361.52,1.389,361.874,1.404
374.562,1.4019,371.914,1.405,372.474,1.422
384.696,1.4126,382.648,1.422,384.112,1.44
396.06,1.4247,393.626,1.44,395.024,1.459
405.872,1.4342,404.462,1.457,405.27,1.476
416.89,1.4455,415.296,1.474,416.026,1.493
428.948,1.4567,426.184,1.489,427.114,1.511
439.988,1.4676,437.018,1.506,437.792,1.528
451.364,1.4788,447.704,1.524,449.198,1.545
463.248,1.4911,458.628,1.539,457.084,1.558
472.51,1.4996,469.584,1.555,470.274,1.578
483.21,1.5087,480.64,1.573,481.896,1.596
495.09,1.5206,491.318,1.589,490.962,1.609
505.56,1.5313,502.368,1.604,503.684,1.631
516.676,1.5413,513.124,1.621,512.8,1.643
527.114,1.5504,524.204,1.636,523.622,1.658
537.91,1.5613,534.774,1.651,534.776,1.674
548.304,1.5701,546.446,1.668,545.812,1.691
560.984,1.5812,557.28,1.683,555.968,1.707
571.654,1.5908,568.312,1.699,567.458,1.722
581.93,1.6005,578.87,1.714,578.084,1.739
593.21,1.6091,589.754,1.729,589.878,1.755
606.134,1.6219,601.47,1.745,600.606,1.771
615.456,1.6299,612.726,1.76,611.652,1.787
627.402,1.6405,621.848,1.773,623.042,1.803
638.492,1.6505,634.09,1.788,633.224,1.818
648.9,1.6589,645.156,1.802,644.028,1.832
660.916,1.6694,656.782,1.819,654.05,1.844
672.468,1.6799,667.274,1.833,666.124,1.863
681.872,1.6867,679.972,1.849,676.54,1.876
693.768,1.6986,690.774,1.863,686.334,1.889
705.002,1.7063,701.076,1.876,698.782,1.908
715.352,1.7165,712.292,1.89,710.088,1.922
726.546,1.7252,723.136,1.905,721.146,1.937
737.834,1.7341,731.474,1.915,731.722,1.952
750.136,1.7444,742.89,1.931,741.628,1.963
759.994,1.7525,754.878,1.945,752.75,1.977
771.488,1.7629,766.49,1.96,763.82,1.994
782.314,1.7719,776.214,1.972,775.56,2.009
794.536,1.7817,788.494,1.988,787.414,2.025
804.878,1.7907,800.186,2.002,798.464,2.04
817.822,1.8017,809.488,2.014,808.078,2.052
827.964,1.8095,821.264,2.029,819.49,2.066
839.588,1.8175,832.106,2.041,830.156,2.078
850.574,1.8276,844.288,2.056,840.93,2.092
861.818,1.8364,855.306,2.069,852.614,2.108
872.382,1.8447,865.29,2.082,863.84,2.123
883.738,1.8547,878.732,2.098,874.09,2.136
895.028,1.8629,887.76,2.11,885.708,2.15
906.496,1.8725,899.898,2.125,895.696,2.164
918.378,1.8822,911.61,2.138,906.372,2.174
928.478,1.8896,921.766,2.15,918.256,2.191
940.34,1.8998,933.556,2.166,928.856,2.205
951.372,1.9086,942.782,2.176,939.662,2.218
962.244,1.9169,954.042,2.188,951.788,2.232
973.64,1.9267,965.216,2.202,963.12,2.246
985.238,1.9344,975.916,2.215,973.992,2.259
996.302,1.9426,988.244,2.23,984.934,2.272
1007.368,1.953,998.576,2.24,995.496,2.286
1019.058,1.9608,1010.72,2.256,1006.936,2.301
1030.42,1.9696,1021.414,2.269,1017.276,2.313
1042.3,1.9786,1031.346,2.278,1029.626,2.327
1053.916,1.9882,1042.562,2.293,1039.822,2.34
1064.872,1.9971,1053.504,2.306,1050.552,2.353
1076.99,2.0066,1064.87,2.319,1060.87,2.366
1087.87,2.0151,1075.69,2.331,1072.096,2.38
1098.95,2.0242,1086.212,2.344,1082.944,2.392
1110.872,2.0322,1097.79,2.356,1094.292,2.406
1122.138,2.0404,1109.648,2.37,1105.138,2.419
1132.212,2.0488,1119.966,2.381,1116.306,2.43
1143.612,2.0579,1130.408,2.394,1126.842,2.445
1154.544,2.0658,1142.726,2.408,1139.24,2.459
1167.156,2.0764,1152.9,2.42,1148.362,2.469
