t [s],ΔTj (t),,,,t [s],mirror ΔTj (t),Zth (t),,,,tau_i,R_i,C_i,t [s],Zth (t),t [s],y value,y value,error,root mean square,,,
1.00E-06,15.36089512,0,150,,1.00E-06,0.004801259,3.79285E-05,,,,0.01317,0.01613,0.81680,1.00E-06,3.79285E-05,0.000001,0.00027,0.00027,0.00024,0.000792753,,,
1.12E-06,15.35735217,1,149,,1.12E-06,0.006094021,4.8141E-05,,,,0.00019,0.04535,0.00422,1.12E-06,4.8141E-05,1.12202E-06,0.00031,0.00031,0.00026,,,,
1.26E-06,15.35359928,2,148,,1.26E-06,0.006094021,4.8141E-05,,,,0.00129,0.04766,0.02704,1.26E-06,4.8141E-05,1.25893E-06,0.00035,0.00035,0.00030,,,,
1.41E-06,15.34962403,3,147,,1.41E-06,0.010564641,8.34575E-05,,,,0.21485,0.01124,19.10815,1.41E-06,8.34575E-05,1.41254E-06,0.00039,0.00039,0.00030,,,,
1.58E-06,15.34541322,4,146,,1.58E-06,0.009951602,7.86147E-05,,,,,,,1.58E-06,7.86147E-05,1.58489E-06,0.00043,0.00043,0.00036,,,,
1.78E-06,15.34095291,5,145,,1.78E-06,0.011510379,9.09286E-05,,,,,,,1.78E-06,9.09286E-05,1.77828E-06,0.00049,0.00049,0.00040,,,,
2.00E-06,15.33622831,6,144,,2.00E-06,0.012144929,9.59414E-05,,,,1200V IGBT HPD_IGBT Rth_WH,,,2.00E-06,9.59414E-05,1.99526E-06,0.00055,0.00055,0.00045,,,,
2.24E-06,15.33122375,7,143,,2.24E-06,0.013540989,0.00010697,,,,Item,Value,Unit,2.24E-06,0.00010697,2.23872E-06,0.00061,0.00061,0.00051,,,,
2.51E-06,15.32592266,8,142,,2.51E-06,0.018784916,0.000148395,,,,K,-2.3,mV/C,2.51E-06,0.000148395,2.51189E-06,0.00069,0.00069,0.00054,,,,
2.82E-06,15.32030746,9,141,,2.82E-06,0.023770611,0.000187781,,,,It,100,A,2.82E-06,0.000187781,2.81838E-06,0.00077,0.00077,0.00058,,,,
3.16E-06,15.31435954,10,140,,3.16E-06,0.024740495,0.000195443,,,,on/off ,30,s,3.16E-06,0.000195443,3.16228E-06,0.00086,0.00086,0.00067,,,,
3.55E-06,15.30805918,11,139,,3.55E-06,0.030811521,0.000243402,,,,Im,0.1,A,3.55E-06,0.000243402,3.54813E-06,0.00097,0.00097,0.00073,,,,
3.98E-06,15.30138551,12,138,,3.98E-06,0.034267325,0.000270702,,,,Flow rate,10,LPM,3.98E-06,0.000270702,3.98107E-06,0.00109,0.00109,0.00082,,,,
4.47E-06,15.29431639,13,137,,4.47E-06,0.035628946,0.000281458,,,,Rth,0.122 ,K/W,4.47E-06,0.000281458,4.46684E-06,0.00122,0.00122,0.00094,,,,
5.01E-06,15.2868284,14,136,,5.01E-06,0.042971096,0.000339459,,,,DeltaT,15.36 ,K,5.01E-06,0.000339459,5.01187E-06,0.00136,0.00136,0.00102,,,,
5.62E-06,15.27889672,15,135,,5.62E-06,0.05386547,0.000425521,,,,Powerstep,126.587,W,5.62E-06,0.000425521,5.62341E-06,0.00153,0.00153,0.00110,,,,
6.31E-06,15.27049506,16,134,,6.31E-06,0.065698601,0.000519,,,,,,,6.31E-06,0.000519,6.30957E-06,0.00171,0.00171,0.00119,,,,
7.08E-06,15.26159556,17,133,,7.08E-06,0.081309043,0.000642317,,,,,,,7.08E-06,0.000642317,7.07946E-06,0.00192,0.00192,0.00128,,,,
7.94E-06,15.25216874,18,132,,7.94E-06,0.090145191,0.00071212,,,,,,,7.94E-06,0.00071212,7.94328E-06,0.00215,0.00215,0.00144,,,,
8.91E-06,15.24218335,19,131,,8.91E-06,0.109074658,0.000861658,,,,,,,8.91E-06,0.000861658,8.91251E-06,0.0024,0.00240,0.00154,,,,
1.00E-05,15.23160628,20,130,,1.00E-05,0.135466249,0.001070143,,,,,,,1.00E-05,0.001070143,0.00001,0.00269,0.00269,0.00162,,R(i),C(i),
1.12E-05,15.22040249,21,129,,1.12E-05,0.165045391,0.00130381,,,,,,,1.12E-05,0.00130381,1.12202E-05,0.00301,0.00301,0.00171,,0.00,0.00,
1.26E-05,15.20853482,22,128,,1.26E-05,0.197339951,0.001558927,,,,,,,1.26E-05,0.001558927,1.25893E-05,0.00337,0.00337,0.00181,,0.00,0.82,
1.41E-05,15.19596396,23,127,,1.41E-05,0.238941074,0.001887564,,,,,,,1.41E-05,0.001887564,1.41254E-05,0.00376,0.00376,0.00188,,0.02,0.82,
1.58E-05,15.18264822,24,126,,1.58E-05,0.292121024,0.00230767,,,,,,,1.58E-05,0.00230767,1.58489E-05,0.00421,0.00421,0.00190,,0.02,0.82,
1.78E-05,15.16854347,25,125,,1.78E-05,0.357748564,0.002826108,,,,,,,1.78E-05,0.002826108,1.77828E-05,0.0047,0.00470,0.00187,,0.06,0.82,
2.00E-05,15.15360297,26,124,,2.00E-05,0.429502473,0.003392943,,,,,,,2.00E-05,0.003392943,1.99526E-05,0.00525,0.00525,0.00186,,0.06,0.85,
2.24E-05,15.13777719,27,123,,2.24E-05,0.515559313,0.004072767,,,,,,,2.24E-05,0.004072767,2.23872E-05,0.00586,0.00586,0.00178,,0.11,0.85,
2.51E-05,15.12101367,28,122,,2.51E-05,0.625373748,0.004940268,,,,,,,2.51E-05,0.004940268,2.51189E-05,0.00653,0.00653,0.00159,,0.11,19.96,
2.82E-05,15.10325685,29,121,,2.82E-05,0.750868388,0.005931639,,,,,,,2.82E-05,0.005931639,2.81838E-05,0.00728,0.00728,0.00135,,0.12,19.96,
3.16E-05,15.08444787,30,120,,3.16E-05,0.88554411,0.006995538,,,,,,,3.16E-05,0.006995538,3.16228E-05,0.0081,0.00810,0.00111,,,,
3.55E-05,15.06452438,31,119,,3.55E-05,1.039796808,0.008214088,,,,,,,3.55E-05,0.008214088,3.54813E-05,0.00902,0.00902,0.00080,,,,
3.98E-05,15.04342036,32,118,,3.98E-05,1.20835376,0.009545639,,,,,,,3.98E-05,0.009545639,3.98107E-05,0.01002,0.01002,0.00047,,,,
4.47E-05,15.02106585,33,117,,4.47E-05,1.393776185,0.011010421,,,,,,,4.47E-05,0.011010421,4.46684E-05,0.01112,0.01112,0.00011,,,,
5.01E-05,14.99738675,34,116,,5.01E-05,1.595286897,0.012602296,,,,,,,5.01E-05,0.012602296,5.01187E-05,0.01233,0.01233,-0.00027,,,,
5.62E-05,14.97230457,35,115,,5.62E-05,1.80679448,0.014273144,,,,,,,5.62E-05,0.014273144,5.62341E-05,0.01365,0.01365,-0.00062,,,,
6.31E-05,14.94573618,36,114,,6.31E-05,2.023186579,0.015982578,,,,,,,6.31E-05,0.015982578,6.30957E-05,0.0151,0.01510,-0.00089,,,,
7.08E-05,14.91759352,37,113,,7.08E-05,2.247990562,0.017758463,,,,,,,7.08E-05,0.017758463,7.07946E-05,0.01666,0.01666,-0.00110,,,,
7.94E-05,14.88778329,38,112,,7.94E-05,2.484261132,0.019624931,,i,1,2,3,4,7.94E-05,0.019624931,7.94328E-05,0.01836,0.01836,-0.00127,,,,
8.91E-05,14.8562067,39,111,,8.91E-05,2.728738157,0.021556227,,ri (K/W),0.01613,0.04535,0.04766,0.01124,8.91E-05,0.021556227,8.91251E-05,0.02018,0.02018,-0.00137,,,,
0.0001,14.82275908,40,110,,1.00E-04,2.981131119,0.023550057,,Ƭi (s),0.01317,0.00019,0.00129,0.21485,1.00E-04,0.023550057,0.0001,0.02214,0.02214,-0.00141,,,,
0.000112202,14.78732957,41,109,,1.12E-04,3.241569582,0.025607445,,,,,,,1.12E-04,0.025607445,0.000112202,0.02424,0.02424,-0.00137,,,,
0.000125893,14.74980072,42,108,,1.26E-04,3.502352592,0.027667553,,,,,,`,1.26E-04,0.027667553,0.000125893,0.02646,0.02646,-0.00121,,,,
